,,,,,,,Weather Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,year,month,measure,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2,2,2014,12,Mean.TemperatureF,52,38,44,37,34,42,30,24,39,43,36,35,37,39,37,40,45,40,33,32,33,39,45,44,52,44,45,46,36,26,25
8,8,,,Mean.Humidity,63,72,79,54,66,93,61,70,93,95,87,75,65,68,75,85,85,73,63,79,77,79,91,98,75,60,60,65,51,38,44
20,20,,,CloudCover,6,7,8,3,5,8,6,8,8,8,8,7,5,4,2,8,8,7,4,6,8,7,8,8,6,1,3,8,4,2,1
21,21,,,Events,Rain,Rain-Snow,Rain,NO RECORD,Rain,Rain,Rain,Snow,Rain,Rain,Rain-Snow,Snow,NO RECORD,NO RECORD,NO RECORD,Rain,Rain,Rain,NO RECORD,Snow,Snow,Rain,Rain,Fog-Rain,Rain,NO RECORD,NO RECORD,Rain,NO RECORD,NO RECORD,NO RECORD
24,24,2015,1,Mean.TemperatureF,28,36,30,44,34,17,15,9,25,21,24,36,25,20,28,27,16,36,39,33,28,33,31,33,29,20,17,19,21,27,16
30,30,,,Mean.Humidity,43,45,72,95,47,59,58,49,65,49,49,72,56,67,78,52,46,80,70,44,57,67,54,82,55,71,85,63,57,78,56
42,42,,,CloudCover,3,3,7,8,2,6,3,1,4,1,6,8,3,8,8,2,1,8,3,3,5,6,2,8,4,8,8,6,3,8,5
43,43,,,Events,NO RECORD,NO RECORD,Rain-Snow,Fog-Rain,NO RECORD,Snow,Snow,NO RECORD,Snow,NO RECORD,NO RECORD,Rain,NO RECORD,Snow,Fog-Snow,NO RECORD,NO RECORD,Rain,NO RECORD,NO RECORD,NO RECORD,Snow,NO RECORD,Fog-Rain-Snow,NO RECORD,Fog-Snow,Fog-Snow,Snow,NO RECORD,Snow,Snow
46,46,2015,2,Mean.TemperatureF,21,21,14,26,22,13,23,21,20,22,20,23,15,17,9,8,17,23,20,13,19,34,19,11,25,20,21,22,NA,NA,NA
52,52,,,Mean.Humidity,48,67,56,64,66,53,74,90,86,76,69,77,55,73,71,44,63,66,71,45,70,85,51,60,63,65,41,43,NA,NA,NA
64,64,,,CloudCover,4,7,1,7,7,3,7,8,8,7,7,8,2,6,6,3,7,8,6,2,6,8,5,6,4,8,2,0,NA,NA,NA
65,65,,,Events,NO RECORD,Fog-Snow,Snow,NO RECORD,Fog-Rain-Snow,NO RECORD,Snow,Snow,Fog-Snow,Snow,Snow,Fog-Snow,NO RECORD,Snow,Fog-Snow,Snow,Snow,Snow,Snow,NO RECORD,Rain-Snow,Rain-Snow,NO RECORD,Snow,Snow,Snow,NO RECORD,NO RECORD,NA,NA,NA
68,68,2015,3,Mean.TemperatureF,21,32,27,38,29,17,28,33,37,40,47,34,32,35,34,36,40,26,27,28,35,30,26,28,39,47,41,35,34,38,44
74,74,,,Mean.Humidity,66,67,60,75,56,48,48,58,56,69,65,42,45,80,85,41,66,35,30,67,78,38,38,59,60,86,88,78,40,59,51
86,86,,,CloudCover,7,6,6,8,8,2,3,4,3,7,5,2,4,7,8,2,5,1,1,7,7,1,0,4,4,8,8,8,3,6,3
87,87,,,Events,Snow,Rain-Snow,Rain-Snow,Rain,Snow,NO RECORD,NO RECORD,Snow,NO RECORD,Rain,Fog-Rain,NO RECORD,NO RECORD,Fog-Rain,Fog-Rain-Snow,NO RECORD,Rain-Snow,NO RECORD,NO RECORD,Snow,Snow,NO RECORD,NO RECORD,NO RECORD,Rain,Fog-Rain,Rain,Fog-Rain-Snow,NO RECORD,Rain-Snow,NO RECORD
90,90,2015,4,Mean.TemperatureF,39,46,52,44,41,39,39,38,35,46,50,54,55,59,59,51,56,52,46,46,56,55,45,44,46,50,51,53,51,50,NA
96,96,,,Mean.Humidity,29,44,80,66,49,74,84,73,95,95,61,39,43,54,28,46,70,68,66,90,71,59,49,49,46,53,52,51,64,72,NA
108,108,,,CloudCover,1,5,8,6,4,7,8,6,8,8,1,1,3,6,1,3,6,1,3,8,6,3,5,5,3,7,7,5,5,6,NA
109,109,,,Events,NO RECORD,NO RECORD,Rain,Fog-Rain-Thunderstorm,NO RECORD,NO RECORD,Rain,Rain-Snow,Rain,Rain,NO RECORD,NO RECORD,NO RECORD,Rain,NO RECORD,NO RECORD,Rain,NO RECORD,NO RECORD,Rain,Fog-Rain-Thunderstorm,Rain,NO RECORD,Snow,NO RECORD,NO RECORD,Rain,Rain,NO RECORD,NO RECORD,NA
