Month-Year,Farm Operator,Product Name,EPA Reg. No.,Total Used (Gallons),Total Used (Pounds),A.I. (1) Name,A.I. (1) Pounds,A.I. (2) Name,A.I. (2) Pounds,A.I. (3) Name,A.I. (3) Pounds,Total area applied to ,Field area applied to
12/01/2013 12:00:00 AM,Kaua'i Coffee Co. LLC,No RUP's used,,0,0,,,,,,,0,0
12/01/2013 12:00:00 AM,Syngenta,Aatrex Nine-O,100-585,,166.75,Atrazine,146.74,,,,,166.75,166.75
12/01/2013 12:00:00 AM,Syngenta,Asana XL,352-515,1.65,,Esfenvalerate,1.09,,,,,23.43,23.43
12/01/2013 12:00:00 AM,Syngenta,Callisto EUP,100-EUP-114,0.273,,Mesotrione,1.09,,,,,3.82,3.82
12/01/2013 12:00:00 AM,Syngenta,Dual II Magnum,100-818,1.73,,S-metolachlor,13.2,,,,,11.1,11.1
12/01/2013 12:00:00 AM,Syngenta,Force 3G,100-1075,,199.8,Tefluthrin,5.99,,,,,39.96,39.96
12/01/2013 12:00:00 AM,Syngenta,Lannate,352-384,4.44,,Methomyl,10.66,,,,,23.7,23.7
12/01/2013 12:00:00 AM,Syngenta,Lorsban,62719-591,81.69,,Chlorpyrifos,306.75,,,,,326.76,326.76
12/01/2013 12:00:00 AM,Syngenta,Lumax EZ,100-1442,104.82,,S-metolachlor,261,Mesotrione,26.1,Atrazine,98.01,139.76,139.76
12/01/2013 12:00:00 AM,Syngenta,Mustang,279-3126,3.91,,Zeta-Cypermethrin,5.87,,,,,166.84,166.84
12/01/2013 12:00:00 AM,Syngenta,Permethrin,34074-873,4.41,,Permethrin,14.11,,,,,94.06,94.06
12/01/2013 12:00:00 AM,Syngenta,Voliam Xpress,100-1320,8.68,,Lambda-cyhalothrin,3.62,Chlorantraniliprole,7.25,,,123.39,123.39
12/01/2013 12:00:00 AM,Syngenta,Warrior II,100-1295,1.95,,Lambda-cyhalothrin,4.06,,,,,131.5,131.5
12/01/2013 12:00:00 AM,BASF Plant Science,Warrior II w/Zeon tech.,100-1295,0.72,,Lambda-cyhalothrin 22.8%,5.28,,,,,48,19
12/01/2013 12:00:00 AM,BASF Plant Science,Baythroid XL,264-840,0.22,,"Beta-cyfluthrin Cyano(4-fluoro-3-phenoxyphenyl)methyl-3-(-2,2-dimethyl-cyclopropanecarboxylate 12.70%",0.22,,,,,10,10
12/01/2013 12:00:00 AM,BASF Plant Science,Lorsban Advanced,62719-591,1.25,,"Chlorpyrifos:O,O-diethyl-O-(3,5,6-trichloro-2-pyridinyl)phosphorothioate 40.2%",4.69,,,,,5,5
12/01/2013 12:00:00 AM,Dow AgroSciences,Asana XL,352-515,0.12,,Estenvalerate,0.08,,,,,1.7,1.7
12/01/2013 12:00:00 AM,Dow AgroSciences,Atrazine 4L,66222-36,4.4,,Atrazine,17.6,,,,,8.8,8.8
12/01/2013 12:00:00 AM,Dow AgroSciences,Cobalt Advanced,62719-615,66.15,,Chlorpyrifos,165.56,Lambda-cyhalothrin,8.53,,,241.9,229.15
12/01/2013 12:00:00 AM,Dow AgroSciences,Coragen,352-729,12.31,,Chlorantraniliprole,20.56,,,,,313.9,298.8
12/01/2013 12:00:00 AM,Dow AgroSciences,Dual II Magnum,100-818,1.95,,S-metolachlor,14.88,,,,,7.8,7.8
12/01/2013 12:00:00 AM,Dow AgroSciences,Gramoxone 2.0 SL,100-1431,23.4,,Paraquat-dichloride,46.8,,,,,131.15,131.15
12/01/2013 12:00:00 AM,Dow AgroSciences,Intrro,524-314,3.81,,Alachlor,15.25,,,,,6.1,6.1
12/01/2013 12:00:00 AM,Dow AgroSciences,Lumax,100-1152,6.06,,Mesotrione,1.62,Atrazine,6.06,S-metachlor,16.25,9.7,9.7
12/01/2013 12:00:00 AM,Dow AgroSciences,Permethrin,34704-873,9.07,,Permethrin,29.02,,,,,145.1,141.05
12/01/2013 12:00:00 AM,Dow AgroSciences,Warrior II,100-1295,0.08,,Lambda-cyhalothrin,0.17,,,,,6.9,6.9
12/01/2013 12:00:00 AM,DuPont Pioneer,Gramoxone SL,100-1217,2.89,,Paraquat dicloride,5.78,,,,,11.54,11.54
12/01/2013 12:00:00 AM,DuPont Pioneer,Permethrin,34704-873,8.17,,Permethrin,26.144,,,,,174.33,174.33
12/01/2013 12:00:00 AM,DuPont Pioneer,Baythroid XL,264-840,0.01,,Beta-cyfluthrin,0.01,,,,,0.35,0.35
12/01/2013 12:00:00 AM,DuPont Pioneer,Dual II Magnum,100-818,14.16,,S-metolachlor,108.1824,,,,,87.29,87.29
12/01/2013 12:00:00 AM,DuPont Pioneer,Force 3G,100-1075,,13.39,Tefluthrin,0.4017,,,,,3.73,3.73
12/01/2013 12:00:00 AM,DuPont Pioneer,Intrro,524-314,4.59,,Alachlor,18.36,,,,,10.73,10.73
12/01/2013 12:00:00 AM,DuPont Pioneer,Mustang,279-3126,0.51,,Zeta-cypermethrin,0.765,,,,,15.29,15.29
12/01/2013 12:00:00 AM,DuPont Pioneer,Mustang Max,279-3249,6.51,,Zeta-cypermethrin,5.208,,,,,252.07,237.3
12/01/2013 12:00:00 AM,DuPont Pioneer,Asana XL,352-515,1.67,,Esfenvalerate,1.1022,,,,,26.77,26.77
12/01/2013 12:00:00 AM,DuPont Pioneer,Atrazine 4L,66222-36,1.9,,Atrazine,7.6,,,,,12.17,12.17
12/01/2013 12:00:00 AM,DuPont Pioneer,Lannate LV,352-384,12.9,,Methomyl,30.96,,,,,103.23,103.23
12/01/2013 12:00:00 AM,DuPont Pioneer,Lorsban Advanced,62719-591,9.2,,Chlorpyrifos,34.546,,,,,49.07,49.07
12/01/2013 12:00:00 AM,DuPont Pioneer,Warrior II with Zeon Technology,100-1295,3.7,,Lambda-cyhalothrin,7.696,,,,,253.03,216.4
01/01/2014 12:00:00 AM,BASF Plant Science,Baythroid XL,264-840,1.17,,"Beta-cyfluthrin Cyano(4-fluoro-3-phenoxyphenyl)methyl-3-(-2,2-dimethyl-cyclopropanecarboxylate 12.70%",1.7,,,,,50.5,22.5
01/01/2014 12:00:00 AM,BASF Plant Science,Lannate LV,352-384,1.88,,Methomyl (S-methly-N-[(methylcarbamoly)oxy]thioacetimidate) 29%,4.51,,,,,10,10
01/01/2014 12:00:00 AM,BASF Plant Science,Lorsban Advanced,62719-591,2.5,,"Chlorpyrifos:O,O-diethyl-O-(3,5,6-trichloro-2-pyridinyl)phosphorothioate 40.2%",9.38,,,,,10,10
01/01/2014 12:00:00 AM,BASF Plant Science,Warrior II w/Zeon tech.,100-1295,0.13,,Lambda-cyhalothrin 22.8%,0.27,,,,,8.25,8
01/01/2014 12:00:00 AM,Kaua'i Coffee Co. LLC,No RUP's used,,0,0,,0,,,,,0,0
