"YY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS"
86,1,1,0,210,9,11,99,99,99,999,1009.2,5.8,4.3,999,99
86,1,1,1,210,9,10,99,99,99,999,1009.3,4.7,4.3,999,99
86,1,1,2,220,8,10,99,99,99,999,1009.2,4,4.3,999,99
86,1,1,3,220,6,8,99,99,99,999,1009.3,3.9,4.3,999,99
86,1,1,4,210,6,8,99,99,99,999,1009,3.9,4.3,999,99
86,1,1,5,210,6,8,99,99,99,999,1008.4,3.9,4.3,999,99
86,1,1,6,210,7,8,99,99,99,999,1008.3,3.9,4.4,999,99
86,1,1,7,210,7,9,99,99,99,999,1008.4,3.9,4.4,999,99
86,1,1,8,210,6,8,99,99,99,999,1008.4,3.6,4.4,999,99
86,1,1,9,220,5,6,99,99,99,999,1008.7,3.5,4.3,999,99
86,1,1,10,230,5,6,99,99,99,999,1009,3.5,4.1,999,99
86,1,1,11,240,6,7,99,99,99,999,1009.1,3.3,4.1,999,99
86,1,1,12,240,5,6,99,99,99,999,1009.8,3.2,4.1,999,99
86,1,1,13,260,7,9,99,99,99,999,1010.7,3.5,4,999,99
86,1,1,14,260,7,7,99,99,99,999,1011.6,3.2,3.9,999,99
86,1,1,15,280,7,10,99,99,99,999,1012.7,3.6,4,999,99
86,1,1,16,310,9,11,99,99,99,999,1012.9,3.5,4.1,999,99
86,1,1,17,290,8,10,99,99,99,999,1012.3,3.2,4.2,999,99
86,1,1,18,270,9,11,99,99,99,999,1012.3,3.2,4.3,999,99
86,1,1,19,280,9,11,99,99,99,999,1012.8,3.1,4.3,999,99
86,1,1,21,300,7,9,99,99,99,999,1015.3,2.7,4.3,999,99
86,1,1,22,280,7,9,99,99,99,999,1016.9,2.4,4.3,999,99
86,1,1,23,280,8,9,99,99,99,999,1018.4,1.6,4.2,999,99
86,1,2,0,270,7,9,99,99,99,999,1019.6,1,4.2,999,99
86,1,2,1,280,7,9,99,99,99,999,1019.9,0.4,4.2,999,99
86,1,2,2,270,8,9,99,99,99,999,1020.5,0,4.2,999,99
86,1,2,3,270,7,8,99,99,99,999,1020.8,-0.4,4.2,999,99
86,1,2,4,280,6,7,99,99,99,999,1020.9,-0.6,4.2,999,99
86,1,2,5,270,6,7,99,99,99,999,1021.4,-0.9,4.3,999,99
86,1,2,6,270,5,7,99,99,99,999,1021.4,-1,4.3,999,99
86,1,2,7,250,4,5,99,99,99,999,1022.1,-0.8,4.3,999,99
86,1,2,8,230,4,5,99,99,99,999,1022.3,-1.2,4.2,999,99
86,1,2,9,200,5,6,99,99,99,999,1022.3,-1.7,4.2,999,99
86,1,2,10,210,6,7,99,99,99,999,1022.6,-1.5,4.2,999,99
86,1,2,11,230,6,7,99,99,99,999,1023.2,-1.2,4.2,999,99
86,1,2,12,240,6,7,99,99,99,999,1023.6,-1,4.2,999,99
86,1,2,13,240,5,7,99,99,99,999,1024.6,-1.2,4.2,999,99
86,1,2,14,230,5,6,99,99,99,999,1025.3,-1,4.1,999,99
86,1,2,15,250,4,5,99,99,99,999,1025.4,-0.4,4.2,999,99
86,1,2,16,210,4,5,99,99,99,999,1025,0,4.2,999,99
86,1,2,17,210,6,7,99,99,99,999,1023.7,1.1,4.3,999,99
86,1,2,18,230,7,7,99,99,99,999,1022.3,2.6,4.3,999,99
86,1,2,19,230,9,11,99,99,99,999,1021.7,4,4.3,999,99
