"Month","Year","Farm_Operator","Product_Name","EPA_Reg_No","Total_Used_Gallons","Total_Used_Pounds","Primary_Chemical","Primary_Pounds_Used","Secondary_Chemical","Secondary_Pounds_Used","Tertiary_Chemical","Tertiary_Pounds_Used","Total_area_applied_to","Field_area_applied_to"
12,2013,"Kaua'i Coffee Co. LLC","No RUP's used","",0,0,"",NA,"",NA,"",NA,0,0
12,2013,"Syngenta","Aatrex Nine-O","100-585",NA,166.75,"Atrazine",146.74,"",NA,"",NA,166.75,166.75
12,2013,"Syngenta","Asana XL","352-515",1.65,NA,"Esfenvalerate",1.09,"",NA,"",NA,23.43,23.43
12,2013,"Syngenta","Callisto EUP","100-EUP-114",0.273,NA,"Mesotrione",1.09,"",NA,"",NA,3.82,3.82
12,2013,"Syngenta","Dual II Magnum","100-818",1.73,NA,"S-metolachlor",13.2,"",NA,"",NA,11.1,11.1
12,2013,"Syngenta","Force 3G","100-1075",NA,199.8,"Tefluthrin",5.99,"",NA,"",NA,39.96,39.96
12,2013,"Syngenta","Lannate","352-384",4.44,NA,"Methomyl",10.66,"",NA,"",NA,23.7,23.7
12,2013,"Syngenta","Lorsban","62719-591",81.69,NA,"Chlorpyrifos",306.75,"",NA,"",NA,326.76,326.76
12,2013,"Syngenta","Lumax EZ","100-1442",104.82,NA,"S-metolachlor",261,"Mesotrione",26.1,"Atrazine",98.01,139.76,139.76
12,2013,"Syngenta","Mustang","279-3126",3.91,NA,"Zeta-Cypermethrin",5.87,"",NA,"",NA,166.84,166.84
12,2013,"Syngenta","Permethrin","34074-873",4.41,NA,"Permethrin",14.11,"",NA,"",NA,94.06,94.06
12,2013,"Syngenta","Voliam Xpress","100-1320",8.68,NA,"Lambda-cyhalothrin",3.62,"Chlorantraniliprole",7.25,"",NA,123.39,123.39
12,2013,"Syngenta","Warrior II","100-1295",1.95,NA,"Lambda-cyhalothrin",4.06,"",NA,"",NA,131.5,131.5
12,2013,"BASF Plant Science","Warrior II w/Zeon tech.","100-1295",0.72,NA,"Lambda-cyhalothrin 22.8%",5.28,"",NA,"",NA,48,19
