Higher classification,Order,Family,Common Name,Genus,Species,Body Temperature (C),Body Mass (g),Basal Metabolic Rate (W),Air temperature (C)
Euarchontoglires,Soricomorpha,Soricidae,Shrews,Suncus,etruscus,38.7,2.4,0.08,15.15494418
Euarchontoglires,Soricomorpha,Soricidae,Shrews,Sorex,cinereus,38.4,3.5,0.176,-0.193960256
Laurasiatheria,Chiroptera,Vespertilionidae,Vesper Bats,Myotis,nigricans,*,3.7,0.027,22.59036626
Euarchontoglires,Soricomorpha,Soricidae,Shrews,Notiosorex,crawfordi,37.6,4,0.074,15.73159067
Euarchontoglires,Soricomorpha,Soricidae,Shrews,Sorex,minutus,38.5,4,0.172,1.558387118
Laurasiatheria,Chiroptera,Mormoopidae,Leaf-chinned Bats,Pteronotus,quadridens,31,4.9,0.034,14.17588417
Laurasiatheria,Chiroptera,Vespertilionidae,Vesper Bats,Myotis,yumanensis,*,5,0.047,10.72444327
Laurasiatheria,Chiroptera,Emballonuridae,Bumblebee bat,Peropteryx,macrotis,34.4,5,0.065,23.24524272
Laurasiatheria,Chiroptera,Vespertilionidae,Vesper Bats,Myotis,lucifugus,37.2,5.2,0.05,4.145031991
Euarchontoglires,Soricomorpha,Soricidae,Shrews,Sorex,vagrans,38,5.2,0.157,6.213954611
Laurasiatheria,Chiroptera,Natalidae,Thumbless Bats,Natalus,tumidirostris,32.2,5.4,0.046,22.68938337
Euarchontoglires,Soricomorpha,Soricidae,Shrews,Cryptotis,parva,37,6.2,0.107,15.19667537
Euarchontoglires,Soricomorpha,Soricidae,Shrews,Crocidura,suaveolens,35.1,6.5,0.105,7.255320331
Afrotheria,Afrosoricida,Tenrecidae,Tenrecs,Geogale,aurita,34.9,6.9,0.043,19.26783927
Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Planigale,ingrami,*,7.1,0.063,22.65963495
Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Planigale,tenuirostris,34.5,7.1,0.063,19.88279148
Euarchontoglires,Rodentia,Cricetidae,*,Baiomys,taylori,36,7.15,0.095,17.91338364
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Micromys,minutus,38,7.37,0.118,4.255074885
Laurasiatheria,Chiroptera,Emballonuridae,Bumblebee bat,Saccopteryx,bilineata,35.5,7.8,0.081,23.04513404
