"","year","month_number","anomaly","month"
"1",1850,1,-0.675,"Jan"
"2",1850,2,-0.333,"Feb"
"3",1850,3,-0.591,"Mar"
"4",1850,4,-0.589,"Apr"
"5",1850,5,-0.508,"May"
"6",1850,6,-0.344,"Jun"
"7",1850,7,-0.16,"Jul"
"8",1850,8,-0.208,"Aug"
"9",1850,9,-0.385,"Sep"
"10",1850,10,-0.533,"Oct"
"11",1850,11,-0.283,"Nov"
"12",1850,12,-0.404,"Dec"
"13",1851,1,-0.201,"Jan"
"14",1851,2,-0.469,"Feb"
"15",1851,3,-0.646,"Mar"
"16",1851,4,-0.542,"Apr"
"17",1851,5,-0.198,"May"
"18",1851,6,-0.137,"Jun"
"19",1851,7,-0.097,"Jul"
"20",1851,8,-0.102,"Aug"
"21",1851,9,-0.091,"Sep"
"22",1851,10,-0.008,"Oct"
"23",1851,11,-0.082,"Nov"
"24",1851,12,-0.228,"Dec"
"25",1852,1,-0.375,"Jan"
"26",1852,2,-0.477,"Feb"
"27",1852,3,-0.56,"Mar"
"28",1852,4,-0.585,"Apr"
"29",1852,5,-0.127,"May"
"30",1852,6,-0.084,"Jun"
"31",1852,7,0.005,"Jul"
"32",1852,8,-0.136,"Aug"
"33",1852,9,-0.002,"Sep"
"34",1852,10,-0.172,"Oct"
"35",1852,11,-0.305,"Nov"
"36",1852,12,0.065,"Dec"
"37",1853,1,-0.233,"Jan"
"38",1853,2,-0.404,"Feb"
"39",1853,3,-0.28,"Mar"
"40",1853,4,-0.386,"Apr"
"41",1853,5,-0.268,"May"
"42",1853,6,-0.142,"Jun"
"43",1853,7,-0.083,"Jul"
"44",1853,8,-0.057,"Aug"
"45",1853,9,-0.25,"Sep"
"46",1853,10,-0.392,"Oct"
"47",1853,11,-0.411,"Nov"
"48",1853,12,-0.337,"Dec"
"49",1854,1,-0.381,"Jan"
"50",1854,2,-0.361,"Feb"
"51",1854,3,-0.243,"Mar"
"52",1854,4,-0.334,"Apr"
"53",1854,5,-0.291,"May"
"54",1854,6,-0.299,"Jun"
"55",1854,7,-0.179,"Jul"
"56",1854,8,-0.239,"Aug"
"57",1854,9,-0.217,"Sep"
"58",1854,10,-0.095,"Oct"
"59",1854,11,-0.41,"Nov"
"60",1854,12,-0.45,"Dec"
"61",1855,1,-0.159,"Jan"
"62",1855,2,-0.313,"Feb"
"63",1855,3,-0.344,"Mar"
"64",1855,4,-0.218,"Apr"
"65",1855,5,-0.388,"May"
"66",1855,6,-0.333,"Jun"
"67",1855,7,-0.333,"Jul"
"68",1855,8,-0.2,"Aug"
"69",1855,9,-0.271,"Sep"
"70",1855,10,-0.195,"Oct"
"71",1855,11,-0.389,"Nov"
"72",1855,12,-0.42,"Dec"
"73",1856,1,-0.076,"Jan"
"74",1856,2,-0.337,"Feb"
"75",1856,3,-0.358,"Mar"
"76",1856,4,-0.316,"Apr"
"77",1856,5,-0.285,"May"
"78",1856,6,-0.214,"Jun"
"79",1856,7,-0.225,"Jul"
"80",1856,8,-0.238,"Aug"
"81",1856,9,-0.388,"Sep"
"82",1856,10,-0.438,"Oct"
"83",1856,11,-0.552,"Nov"
"84",1856,12,-0.418,"Dec"
"85",1857,1,-0.495,"Jan"
"86",1857,2,-0.435,"Feb"
"87",1857,3,-0.479,"Mar"
"88",1857,4,-0.644,"Apr"
"89",1857,5,-0.659,"May"
"90",1857,6,-0.304,"Jun"
"91",1857,7,-0.411,"Jul"
"92",1857,8,-0.369,"Aug"
"93",1857,9,-0.38,"Sep"
"94",1857,10,-0.473,"Oct"
"95",1857,11,-0.685,"Nov"
"96",1857,12,-0.274,"Dec"
"97",1858,1,-0.295,"Jan"
"98",1858,2,-0.477,"Feb"
"99",1858,3,-0.548,"Mar"
"100",1858,4,-0.428,"Apr"
"101",1858,5,-0.532,"May"
"102",1858,6,-0.38,"Jun"
"103",1858,7,-0.336,"Jul"
"104",1858,8,-0.278,"Aug"
"105",1858,9,-0.283,"Sep"
"106",1858,10,-0.289,"Oct"
"107",1858,11,-0.366,"Nov"
"108",1858,12,-0.455,"Dec"
"109",1859,1,-0.381,"Jan"
"110",1859,2,-0.344,"Feb"
"111",1859,3,-0.314,"Mar"
"112",1859,4,-0.157,"Apr"
"113",1859,5,-0.152,"May"
"114",1859,6,-0.25,"Jun"
"115",1859,7,-0.312,"Jul"
"116",1859,8,-0.245,"Aug"
"117",1859,9,-0.394,"Sep"
"118",1859,10,-0.255,"Oct"
"119",1859,11,-0.288,"Nov"
"120",1859,12,-0.284,"Dec"
"121",1860,1,-0.391,"Jan"
"122",1860,2,-0.468,"Feb"
"123",1860,3,-0.786,"Mar"
"124",1860,4,-0.306,"Apr"
"125",1860,5,-0.364,"May"
"126",1860,6,-0.211,"Jun"
"127",1860,7,-0.185,"Jul"
"128",1860,8,-0.114,"Aug"
"129",1860,9,-0.131,"Sep"
"130",1860,10,-0.346,"Oct"
"131",1860,11,-0.605,"Nov"
"132",1860,12,-0.774,"Dec"
"133",1861,1,-0.918,"Jan"
"134",1861,2,-0.625,"Feb"
