"","YEAR","MONTH","DATE","SITE","TRANSECT","QUAD","SIDE","FRONDS","HLD_DIAM","OBS_CODE","NOTES"
"2",2000,9,"2000-09-28","BULL",1,20,"",4,7,6,NA
"8",2000,9,"2000-09-28","BULL",2,20,"",11,65,2,NA
"9",2000,9,"2000-09-28","BULL",2,20,"",16,55,2,NA
"10",2000,9,"2000-09-28","BULL",2,20,"",34,55,2,NA
"16",2000,9,"2000-09-28","BULL",3,20,"",27,65,2,NA
"17",2000,9,"2000-09-28","BULL",3,20,"",38,60,2,NA
"18",2000,9,"2000-09-28","BULL",3,20,"",44,65,2,NA
"19",2000,9,"2000-09-28","BULL",3,20,"",65,68,2,NA
"21",2000,9,"2000-09-28","BULL",4,20,"",0,0,2,"NO KELP"
"22",2000,9,"2000-09-28","BULL",4,40,"",0,0,2,"NO KELP"
"23",2000,9,"2000-09-28","BULL",5,20,"",0,0,2,"NO KELP"
"24",2000,9,"2000-09-28","BULL",5,40,"",4,15,2,NA
"61",2000,9,"2000-09-28","BULL",7,20,"",7,10,2,NA
"62",2000,9,"2000-09-28","BULL",7,20,"",10,9,2,NA
"63",2000,9,"2000-09-28","BULL",7,40,"",4,6,2,NA
"64",2000,9,"2000-09-28","BULL",7,40,"",4,7,2,NA
"65",2000,9,"2000-09-28","BULL",7,40,"",4,15,2,NA
"66",2000,9,"2000-09-28","BULL",7,40,"",5,7,2,NA
"67",2000,9,"2000-09-28","BULL",7,40,"",6,7,2,NA
"68",2000,9,"2000-09-28","BULL",7,40,"",6,10,2,NA
"69",2000,9,"2000-09-28","BULL",7,40,"",10,10,2,NA
"70",2000,9,"2000-09-28","BULL",7,40,"",11,6,2,NA
"71",2000,9,"2000-09-28","BULL",7,40,"",14,6,2,NA
"72",2000,9,"2000-09-28","BULL",7,40,"",4,6,2,NA
"88",2000,9,"2000-09-08","CARP",1,20,"",4,10,2,NA
"89",2000,9,"2000-09-08","CARP",1,20,"",4,15,3,NA
"90",2000,9,"2000-09-08","CARP",1,20,"",5,10,2,NA
"91",2000,9,"2000-09-08","CARP",1,20,"",6,10,2,NA
"92",2000,9,"2000-09-08","CARP",1,20,"",6,15,3,NA
"93",2000,9,"2000-09-08","CARP",1,20,"",7,10,2,NA
"94",2000,9,"2000-09-08","CARP",1,20,"",7,20,2,NA
"95",2000,9,"2000-09-08","CARP",1,20,"",8,10,2,NA
"96",2000,9,"2000-09-08","CARP",1,20,"",9,15,2,NA
"97",2000,9,"2000-09-08","CARP",1,20,"",9,20,2,NA
