Plot: 3,,,,,,,,,,,,
Date collected,Species,Sex,Weight,Day,Month,Year,,,,,Minute,Day
1/8,PF,M,7,8.00,1,2015,1/15,,,43131.60,26,14
2/18,OT,M,24,18.00,2,2015,,,,1/0/00 14:26,,
2/19,OT,F,23,19.00,2,2015,,,,,,
3/11,NA,M,232,11.00,3,2015,,,,,,
3/11,OT,F,22,11.00,3,2015,,,,,,
3/11,OT,M,26,11.00,3,2015,,,,,,
3/11,PF,M,8,11.00,3,2015,,,,,,
4/8,NA,F,,8.00,4,2015,,,,,,
5/6,,,,6.00,5,2015,,,,,,
5/18,NA,F,182,18.00,5,2015,,,,,,
6/9,OT,F,29,9.00,6,2015,,,,,,
7/8,NA,F,115,8.00,7,2015,,,,,,
7/8,NA,M,190,8.00,7,2015,,,,,,
